tamaño          Simple          Memoria         Iterativo           Tramposo        Chido
2               0.02            0.00            0.01                0.02            0.01
4               0.01            0.01            0.01                0.01            0.02
8               0.01            0.01            0.01                0.02            0.02
16              0.02            0.02            0.01                0.02            0.02
32              1.12            0.01            0.00                0.01            0.00
64              x.xxx           0.01            0.02                0.02            0.01
128             x.xxx           0.01            0.01                0.02            0.02
256             x.xxx           0.02            0.01                0.01            0.00
512             x.xxx           0.02            0.01                0.02            0.01
1024            x.xxx           x.xxx           0.01                0.02            0.01
2048            x.xxx           x.xxx           0.02                x.xx            0.01
4096            x.xxx           x.xxx           0.01                x.xx            0.01
8192            x.xxx           x.xxx           0.02                x.xx            0.01
16384           x.xxx           x.xxx           0.03                x.xx            0.02
32768           x.xxx           x.xxx           0.04                x.xx            0.03
65536           x.xxx           x.xxx           0.12                x.xx            0.02
131072          x.xxx           x.xxx           0.36                x.xx            0.03
262144          x.xxx           x.xxx           1.04                x.xx            0.03
524288          x.xxx           x.xxx           3.93                x.xx            0.16
1048576         x.xxx           x.xxx           15.85               x.xx            0.28
2097152         x.xxx           x.xxx           62.89               x.xx            0.89
4194304         x.xxx           x.xxx           251.01              x.xx            2.58
8388608         x.xxx           x.xxx           xx.xxx              x.xx            7.99
16777216        x.xxx           x.xxx           xx.xxx              x.xx            23.51
33554432        x.xxx           x.xxx           xx.xxx              x.xx            70.07
67108864        x.xxx           x.xxx           xx.xxx              x.xx            211.07
134217728       x.xxx           x.xxx           xx.xxx              x.xx            634.89
